=== DIAG LOG DUMP (head=80) ===
uptime_s,type,aux1,vbat_mv,pos,state,motor_n,button_n,heap_kb
0,1,9,2574,0,0,0,0,312
0,1,9,2574,0,0,0,0,312
0,1,9,2572,0,0,0,0,312
0,1,9,2572,0,0,0,0,312
0,1,9,2570,0,0,0,0,312
0,1,9,2568,0,0,0,0,312
0,1,9,2568,0,0,0,0,312
0,1,9,2566,0,0,0,0,312
0,1,9,2566,0,0,0,0,312
0,1,9,2566,0,0,0,0,312
0,1,9,2564,0,0,0,0,312
0,1,9,2564,0,0,0,0,312
0,1,9,2564,0,0,0,0,312
0,1,9,2564,0,0,0,0,312
0,1,9,2562,0,0,0,0,312
0,1,9,2562,0,0,0,0,312
0,1,9,2562,0,0,0,0,312
0,1,9,2568,0,0,0,0,312
0,1,9,2558,0,0,0,0,312
0,1,9,2558,0,0,0,0,312
0,1,9,2558,0,0,0,0,312
0,1,9,2558,0,0,0,0,312
0,1,9,2558,0,0,0,0,312
0,1,9,2558,0,0,0,0,312
0,1,9,2556,0,0,0,0,312
0,1,9,2556,0,0,0,0,312
0,1,9,2556,0,0,0,0,312
0,1,9,2554,0,0,0,0,312
0,1,9,2560,0,0,0,0,312
0,1,9,2560,0,0,0,0,312
0,1,9,2552,0,0,0,0,312
0,1,9,2552,0,0,0,0,312
0,1,9,2558,0,0,0,0,312
0,1,9,2550,0,0,0,0,312
0,1,9,2556,0,0,0,0,312
0,1,9,2550,0,0,0,0,312
0,1,9,2550,0,0,0,0,312
0,1,9,2556,0,0,0,0,312
0,1,9,2548,0,0,0,0,312
0,1,9,2552,0,0,0,0,312
0,1,9,2552,0,0,0,0,312
0,1,9,2554,0,0,0,0,312
0,1,9,2548,0,0,0,0,312
0,1,9,2546,0,0,0,0,312
0,1,9,2546,0,0,0,0,312
0,1,9,2546,0,0,0,0,312
0,1,9,2544,0,0,0,0,312
0,1,9,2544,0,0,0,0,312
0,1,9,2542,0,0,0,0,312
0,1,9,2542,0,0,0,0,312
0,1,9,2548,0,0,0,0,312
0,1,9,2540,0,0,0,0,312
0,1,9,2546,0,0,0,0,312
0,1,9,2540,0,0,0,0,312
0,1,9,2546,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2538,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2540,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2542,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2538,0,0,0,0,312
0,1,9,2532,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2532,0,0,0,0,312
0,1,9,2532,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2530,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2528,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2528,0,0,0,0,312
0,1,9,2530,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2530,0,0,0,0,312
0,1,9,2528,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2520,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2514,0,0,0,0,312
0,1,9,2514,0,0,0,0,312
0,1,9,2512,0,0,0,0,312
0,1,9,2520,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2510,0,0,0,0,312
0,1,9,2510,0,0,0,0,312
0,1,9,2508,0,0,0,0,312
0,1,9,2514,0,0,0,0,312
0,1,9,2510,0,0,0,0,312
0,1,9,2512,0,0,0,0,312
0,1,9,2504,0,0,0,0,312
0,1,9,2506,0,0,0,0,312
