=== DIAG LOG DUMP (head=149) ===
uptime_s,type,aux1,vbat_mv,pos,state,motor_n,button_n,heap_kb
0,1,9,2532,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2530,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2534,0,0,0,0,312
0,1,9,2536,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2528,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2528,0,0,0,0,312
0,1,9,2530,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2530,0,0,0,0,312
0,1,9,2528,0,0,0,0,312
0,1,9,2524,0,0,0,0,312
0,1,9,2526,0,0,0,0,312
0,1,9,2520,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2522,0,0,0,0,312
0,1,9,2514,0,0,0,0,312
0,1,9,2514,0,0,0,0,312
0,1,9,2512,0,0,0,0,312
0,1,9,2520,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2518,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2516,0,0,0,0,312
0,1,9,2510,0,0,0,0,312
0,1,9,2510,0,0,0,0,312
0,1,9,2508,0,0,0,0,312
0,1,9,2514,0,0,0,0,312
0,1,9,2510,0,0,0,0,312
0,1,9,2512,0,0,0,0,312
0,1,9,2504,0,0,0,0,312
0,1,9,2506,0,0,0,0,312
0,1,9,2504,0,0,0,0,312
0,1,9,2504,0,0,0,0,312
0,1,9,2504,0,0,0,0,312
0,1,9,2502,0,0,0,0,312
0,1,9,2502,0,0,0,0,312
0,1,9,2508,0,0,0,0,312
0,1,9,2500,0,0,0,0,312
0,1,9,2500,0,0,0,0,312
0,1,9,2502,0,0,0,0,312
0,1,9,2500,0,0,0,0,312
0,1,9,2498,0,0,0,0,312
0,1,9,2498,0,0,0,0,312
0,1,9,2498,0,0,0,0,312
0,1,9,2496,0,0,0,0,312
0,1,9,2496,0,0,0,0,312
0,1,9,2494,0,0,0,0,312
0,1,9,2494,0,0,0,0,312
0,1,9,2492,0,0,0,0,312
0,1,9,2494,0,0,0,0,312
0,1,9,2492,0,0,0,0,312
0,1,9,2492,0,0,0,0,312
0,1,9,2492,0,0,0,0,312
0,1,9,2492,0,0,0,0,312
0,1,9,2494,0,0,0,0,312
0,1,9,2490,0,0,0,0,312
0,1,9,2496,0,0,0,0,312
0,1,9,2496,0,0,0,0,312
0,1,9,2488,0,0,0,0,312
0,1,9,2488,0,0,0,0,312
0,1,9,2496,0,0,0,0,312
0,1,9,2486,0,0,0,0,312
0,1,9,2486,0,0,0,0,312
0,1,9,2486,0,0,0,0,312
0,1,9,2492,0,0,0,0,312
0,1,9,2486,0,0,0,0,312
0,1,9,2484,0,0,0,0,312
0,1,9,2482,0,0,0,0,312
0,1,9,2484,0,0,0,0,312
0,1,9,2482,0,0,0,0,312
0,1,9,2482,0,0,0,0,312
0,1,9,2482,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2478,0,0,0,0,312
0,1,9,2476,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2484,0,0,0,0,312
0,1,9,2484,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2482,0,0,0,0,312
0,1,9,2476,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2472,0,0,0,0,312
0,1,9,2474,0,0,0,0,312
0,1,9,2472,0,0,0,0,312
0,1,9,2478,0,0,0,0,312
0,1,9,2480,0,0,0,0,312
0,1,9,2472,0,0,0,0,312
0,1,9,2472,0,0,0,0,312
0,1,9,2470,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2466,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2472,0,0,0,0,312
0,1,9,2472,0,0,0,0,312
0,1,9,2472,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2470,0,0,0,0,312
0,1,9,2466,0,0,0,0,312
0,1,9,2470,0,0,0,0,312
0,1,9,2470,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2470,0,0,0,0,312
0,1,9,2470,0,0,0,0,312
0,1,9,2470,0,0,0,0,312
0,1,9,2462,0,0,0,0,312
0,1,9,2460,0,0,0,0,312
0,1,7,2486,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2468,0,0,0,0,312
0,1,9,2464,0,0,0,0,312
0,1,9,2466,0,0,0,0,312
0,1,9,2464,0,0,0,0,312
0,1,7,2482,0,0,0,0,312
0,1,9,2462,0,0,0,0,312
0,1,7,2480,0,0,0,0,312
0,1,9,2462,0,0,0,0,312
0,1,9,2460,0,0,0,0,312
0,1,7,2478,0,0,0,0,312
0,1,9,2456,0,0,0,0,312
0,1,9,2458,0,0,0,0,312
0,1,9,2454,0,0,0,0,312
0,1,9,2454,0,0,0,0,312
0,1,9,2454,0,0,0,0,312
0,1,7,2474,0,0,0,0,312
0,1,9,2452,0,0,0,0,312
0,1,9,2448,0,0,0,0,312
0,1,7,2468,0,0,0,0,312
0,1,9,2448,0,0,0,0,312
0,1,9,2446,0,0,0,0,312
0,1,9,2446,0,0,0,0,312
0,1,9,2446,0,0,0,0,312
0,1,7,2466,0,0,0,0,312
0,1,9,2444,0,0,0,0,312
0,1,7,2464,0,0,0,0,312
0,1,9,2442,0,0,0,0,312
0,1,9,2442,0,0,0,0,312
0,1,9,2442,0,0,0,0,312
0,1,9,2442,0,0,0,0,312
0,1,9,2442,0,0,0,0,312
0,1,9,2442,0,0,0,0,312
0,1,9,2440,0,0,0,0,312
0,1,9,2438,0,0,0,0,312
0,1,9,2440,0,0,0,0,312
0,1,9,2438,0,0,0,0,312
0,1,7,2458,0,0,0,0,312
0,1,9,2438,0,0,0,0,312
0,1,9,2436,0,0,0,0,312
0,1,7,2454,0,0,0,0,312
0,1,7,2452,0,0,0,0,312
0,1,9,2452,0,0,0,0,312
0,1,7,2450,0,0,0,0,312
0,1,7,2450,0,0,0,0,312
0,1,7,2448,0,0,0,0,312
0,1,7,2448,0,0,0,0,312
0,1,9,2446,0,0,0,0,312
0,1,7,2444,0,0,0,0,312
0,1,7,2444,0,0,0,0,312
0,1,7,2442,0,0,0,0,312
0,1,7,2440,0,0,0,0,312
0,1,1,3234,0,0,0,0,312
0,1,11,3064,0,0,0,0,307
0,1,11,3064,0,0,0,0,307
0,1,11,3182,0,0,5,0,307
3600,2,0,3368,0,0,0,0,257
0,1,11,3392,0,0,1,0,307
50,7,1,3392,0,0,0,0,254
0,1,8,3392,0,0,1,0,307
50,7,1,3396,0,0,0,0,254
0,1,8,3394,0,0,1,0,307
50,7,1,3396,0,0,0,0,254
0,1,8,3396,0,0,1,0,307
0,1,11,3418,0,0,2,0,307
3600,2,0,3472,0,0,0,0,254
7200,2,0,3504,0,0,0,0,254
10800,2,0,3532,0,0,0,0,254
14400,2,0,3574,0,0,0,0,254
18000,2,0,3612,0,0,0,0,254
21600,2,0,3648,0,0,0,0,254
25200,2,0,3676,0,0,0,0,254
28800,2,0,3704,0,0,0,0,254
32400,2,0,3732,0,0,0,0,254
36000,2,0,3768,0,0,0,0,254
39600,2,0,3808,0,0,0,0,254
43200,2,0,3842,0,0,0,0,254
46800,2,0,3876,0,0,0,0,254
50400,2,0,3910,0,0,0,0,254
54000,2,0,3950,0,0,0,0,254
57601,2,0,3976,0,0,0,0,254
61201,2,0,4006,0,0,0,0,254
64801,2,0,4044,0,0,0,0,254
68401,2,0,4084,0,0,0,0,254
72001,2,0,4114,0,0,0,0,254
75601,2,0,4064,0,0,0,0,254
79201,2,0,4064,0,0,0,0,254
82801,2,0,4062,0,0,0,0,254
86401,2,0,4064,0,0,0,0,254
90001,2,0,4064,0,0,0,0,254
93601,2,0,4066,0,0,0,0,254
97201,2,0,4062,0,0,0,0,254
100801,2,0,4062,0,0,0,0,254
104401,2,0,4064,0,0,0,0,254
108001,2,0,4060,0,0,0,0,254
111601,2,0,4060,0,0,0,0,254
115202,2,0,4060,0,0,0,0,254
118802,2,0,4058,0,0,0,0,254
0,1,11,4058,0,0,1,0,311
3600,2,0,4040,0,0,0,0,262
7200,2,0,4032,0,0,0,0,262
10800,2,0,4034,0,0,0,0,262
14400,2,0,4026,0,0,0,0,262
18000,2,0,4022,0,0,0,0,262
21600,2,0,4016,0,0,0,0,262
25200,2,0,4010,0,0,0,0,262
28800,2,0,4002,0,0,0,0,262
32400,2,0,3996,0,0,0,0,262
36000,2,0,3992,0,0,0,0,262
39600,2,0,3978,0,0,0,0,262
43200,2,0,3974,0,0,0,0,262
46800,2,0,3968,0,0,0,0,262
50400,2,0,3962,0,0,0,0,262
54001,2,0,3954,0,0,0,0,262
57601,2,0,3948,0,0,0,0,262
61201,2,0,3938,0,0,0,0,262
64801,2,0,3934,0,0,0,0,262
68401,2,0,3924,0,0,0,0,262
72001,2,0,3922,0,0,0,0,262
75601,2,0,3916,0,0,0,0,262
79201,2,0,3912,0,0,0,0,262
82801,2,0,3906,0,0,0,0,262
86401,2,0,3896,0,0,0,0,262
90001,2,0,3898,0,0,0,0,262
0,1,11,3968,0,0,1,0,307
=== END DIAG DUMP ===
